year,county_name,state,county,population,median_income,poverty_rate,hs_grad,some_college,associate,bachelor_plus,pct_white,pct_black,pct_hispanic
2016,Washington,49,053,160245,55056,0.13305424558041007,17837,6844,2678,1333,0.8481325470373491,0.003351118599644295,0.10104527442353896
2016,Weber,49,057,247560,63158,0.1071586046967371,23004,8601,1454,832,0.7647964129907902,0.009460332848602359,0.18017450315075134
2016,Salt Lake,49,035,1121354,68665,0.09075239496898505,148259,60604,16545,11337,0.7170795306388527,0.016189356795445507,0.1807823399212024
2016,Cache,49,005,122753,58003,0.1284647744467169,17162,4225,886,1651,0.8308798970289932,0.007885754319650029,0.10478766303063876
2016,Utah,49,049,592299,69799,0.11512336750055001,76774,25749,4234,5690,0.8279922809256811,0.005005917619310517,0.11481363297928918
2016,Davis,49,011,342281,76905,0.058325011709187954,49888,18620,3585,2555,0.8395558035649072,0.013334073465953413,0.09435522275557218
2017,Tooele,49,045,67456,72386,0.05621701055662188,,,,,,,
2017,Washington,49,053,165662,54842,0.11999317077334894,18671,6658,1532,1947,0.8430418563098356,0.006416679745505909,0.10362666151561613
2017,Utah,49,049,606425,70417,0.10574235608623504,86689,27900,5623,5112,0.822805788019953,0.00582100012367564,0.1176336727542565
2017,Weber,49,057,251769,62917,0.11230099092655249,26541,10065,1451,1204,0.7604431045919077,0.0116773709233464,0.18348962739654207
2017,Salt Lake,49,035,1135649,71471,0.09052311694158548,163704,68059,16577,9622,0.7093019057825085,0.018563834424192686,0.18281528887887014
2017,Davis,49,011,347637,80301,0.047852312615398886,54023,20353,3461,1541,0.8375834563064346,0.01329547775409407,0.09658062864424673
2017,Cache,49,005,124438,52828,0.16635641802846599,16854,5372,918,2171,,,
2018,Tooele,49,045,69907,72906,0.06841885088643018,,,,,,,
2018,Washington,49,053,171700,56333,0.09395731732487307,21597,8812,3011,1563,0.8410192195690157,0.00675596971461852,0.1059114735002912
2018,Weber,49,057,256359,68669,0.0930386233148546,27030,8677,1304,1566,0.7556005445488553,0.010200539087763643,0.18720232174411666
2018,Salt Lake,49,035,1152633,73801,0.08868718093983041,163937,67216,19316,11200,0.7042076706115477,0.018729291977585234,0.18553086715372544
2018,Cache,49,005,127068,59248,0.14529569132040704,17510,6087,1126,2066,0.8270374917367079,0.00779897377781975,0.10856391853180974
2018,Utah,49,049,622213,75349,0.09357011917182002,88584,29947,4559,6207,0.8181265900905317,0.00534865070321578,0.11988659831922509
2018,Davis,49,011,351713,84358,0.05171034407609303,53929,20222,2819,2560,0.8337223816009075,0.014924100047481896,0.09929402666378553
2019,Tooele,49,045,72259,80973,0.02864898726247651,,,,,,,
2019,Washington,49,053,177556,63595,0.09797837813128543,19443,8543,1196,2441,,,
2019,Weber,49,057,260213,72206,0.05759329133943942,31562,8642,1874,1764,0.7524989143509356,0.009749705049324976,0.18737342100509966
2019,Salt Lake,49,035,1160437,80119,0.08952260775926013,181285,66454,16824,11511,0.700410276473432,0.019132447517616207,0.18806966685826115
2019,Cache,49,005,128289,62507,0.1530834012496604,15449,6033,1111,1659,,,
2019,Utah,49,049,636235,79545,0.09915333536262275,93027,29226,4779,4772,0.8160962537427209,0.004215423546331152,0.12173960879234874
2019,Davis,49,011,355481,87427,0.05281464556840022,52398,18514,3309,2076,0.8300218577082882,0.011314247456263485,0.10160036682691902
2021,Cache,49,005,137417,69154,0.11758875607356843,18946,8083,866,1294,0.8183849159856496,0.0019866537619071876,0.11166740650720071
